Name,Redshift,Waveband1,Waveband2,λrest,beta,beta_error,L UV,μ,S ν,Rest-Wavelength(μm),L TIR(1010 L ⊙ ),IRX,Ref.
MACS1149-JD1,9.11,F140W = 25.88 ± 0.02,F160W = 25.70 ± 0.01,1400 − 1600,−0.76 ± 0.16,0.16,(8.6 ± 0.2)/μ,10,< 53/μ,90,< 11.4/μ,< 0.12,Hashimoto et al. (2018a)
A2744 YD4,8.38,F140W = 26.46 ± 0.04,F160W = 26.42 ± 0.04,1500 − 1700,−1.63 ± 0.53,0.53,(4.5 ± 0.2)/μ,1.8 ± 0.3,(175 ± 69)/μa,90,(32.7 ± 12.9)/μ,0.86 ± 0.22,Laporte et al. (2017)
MACS0416 Y1,8.31,F140W = 26.08 ± 0.05,F160W = 26.04 ± 0.05,1500 − 1700,−1.72 ± 0.50,0.5,(6.3 ± 0.3)/μ,1.4,(137 ± 26)/μ,91,(25.7 ± 4.9)/μ,0.61 ± 0.09,Tamura et al. (2018)
A1689 zD1,7.5,F140W = 24.64 ± 0.05,F160W = 24.51 ± 0.11,1600 − 1900,−1.10 ± 0.83,0.83,(20.5 ± 0.9)/μ,9.3,(1330 ± 140)/μ,103,(255 ± 26.8)/μ,1.09 ± 0.05,Knudsen et al. (2017)
SXDF-NB1006-2,7.21,J = 25.46 ± 0.18,H > 25.64,1500 − 1900,< −2.6,,9.1 ± 1.5,−,< 42,162,< 19.6,< 0.33,Inoue et al. (2016)
B14-65666,7.15,J = 24.7+−00..22,H = 24.6+−00..32,1500 − 1900,−1.85+−00..5543 a,,19.9 ± 3.4,−,130 ± 25,163,61.8 ± 11.9,0.49 ± 0.12,"Bowler et al. (2018), This Study"
IOK-1,6.96,F125W = 25.42 ± 0.05,F160W = 25.44 ± 0.06,1600 − 2000,−2.07 ± 0.26,,9.0 ± 0.4,−,< 63,162,< 28.0,< 0.49,Ota et al. (2014)
SPT0311-58E,6.9,F125W = 25.28 ± 0.10,F160W = 24.98 ± 0.12,1600 − 2000,−0.88 ± 0.58,,(10.1 ± 0.9)/μ,1.3,(1530 ± 70)/μb,159,(640 ± 30)/μ,1.80 ± 0.04,Marrone et al. (2018)
COS-3018555981,6.85,F125W − b,F160W − b,1600 − 2000,−1.22 ± 0.51,,11 ± 1c,−,< 87,158,< 35.4,< 0.51,Smit et al. (2018)
COS-2987030247,6.81,F125W − b,F160W − b,1600 − 2000,−1.18 ± 0.53,,13 ± 1c,−,< 75,158,< 30.2,< 0.37,Smit et al. (2018)
Himiko,6.6,F125W = 24.99 ± 0.08,F160W = 24.99 ± 0.10,1600 − 2100,−2.00 ± 0.48,,12.4 ± 1.1,−,< 51,153,< 18.0,< 0.16,Ouchi et al. (2013)
