Name,beta,beta_error+,beta_error-,beta_uplim,beta_lowlim,IRX,IRX_error+,IRX_error-,IRX_uplim,IRX_lowlim
MACS1149-JD1,-0.76,0.16,0.16,0,0,0.12,0.3,0,1,0
A2744YD4,-1.63,0.53,0.53,0,0,0.86,0.86,0.22,0,0
MACS0416_Y1,-1.72,0.5,0.5,0,0,0.61,0.61,0.61,0,0
A1689_zD1,-1.1,0.83,0.83,0,0,1.09,1.09,0.05,0,0
SXDF-NB1006-2,-2.6,0.3,0,1,0,0.33,0.3,0,1,0
B14-65666,-1.85,0.54,0.53,0,0,0.49,0.12,0.12,0,0
IOK-1,-2.07,0.26,0.26,0,0,0.49,0.3,0,1,0
SPT0311-58E,-0.88,0.58,0.58,0,0,1.8,0.04,0.04,0,0
COS-3018555981,-1.22,0.51,0.51,0,0,0.51,0.3,0,1,0
COS-2987030247,-1.18,0.53,0.53,0,0,0.37,0.3,0,1,0
Himiko,-2,0.48,0.48,0,0,0.16,0.3,0,1,0
